tile_name, IGNEOUS,METAMORPHIC, MINERAL,SEDIMENTARY
HU1855,0.57,0,0,49.43
HU1856,0.49,0,0,16.18
HU1857,2.17,0.06,0,4.75
HU1859,2.05,0,0,0.66
HU1860,1.81,0,0,1.36
HU1861,5.96,0,0,0
HU1862,0.53,0,0,0
HU1947,0,0,0,1.11
HU1948,0,0,0,31.99
HU1949,0,0,0,42.16
HU1950,0,0,0,100
HU1951,0,0,0,100
HU1952,0.77,0,0,32.56
HU1953,2.62,0,0,22.38
HU1954,0,0,0,100
HU1955,0.04,0,0,49.96
HU1956,0,6.61,0,18.39
HU1957,1.36,22.01,0,1.22
HU1958,0.29,0.83,0,0.69
HU2046,0,0,0,0.17
HU2047,0,0,0,17.63
HU2048,0,0,0,66.66
HU2049,0,0,0,63.27
HU2050,0,0,0,100
HU2051,0,0,0,100
HU2052,0,0,0,50
HU2053,5.87,0,0,19.13
HU2054,0,0,0,100
HU2055,0,0,0,100
HU2056,0,8.04,0,8.62
HU2057,0,21.53,0,0
HU2058,0,0.69,0,0
HU2076,5.09,0,0,0
HU2077,8.93,0,0,0
HU2078,6.7,0,0,0
HU2079,0.28,0,0,0
HU2146,0,0,0,0.34
HU2147,0,0,0,54.71
HU2148,0,0,0,63.45
HU2149,0,0,0,100
HU2150,0,0,0,100
HU2151,0,0,0,100
HU2152,0,0,0,100
HU2153,4.42,0,0,20.58
HU2154,0.37,0,0,32.96
HU2155,0.26,0,0,49.74
HU2156,0,3.62,0,46.38
HU2157,0.11,12.94,0,0.23
HU2158,0.04,0.83,0,0
HU2176,1.51,0,0,0
HU2177,11.29,0,0,0
HU2178,25,0,0,0
HU2179,19.89,0,0,0
HU2180,3.66,0,0,0
HU2184,0.64,0,0,0
HU2185,0.44,0,0,0
HU2245,0,0,0,19.35
HU2246,0,0,0,25.04
HU2247,0,0,0,3.95
HU2248,0.08,0,0,15.22
HU2249,0,0,0,50
HU2250,0.24,0,0,49.76
HU2251,0,0,0,100
HU2252,0,0,0,100
HU2253,0.34,0,0,19.66
HU2254,3.15,0,0,16.85
HU2255,1.48,0,0,48.52
HU2256,0.31,1.92,0,7.8
HU2257,0.22,2.13,0,0
HU2258,0.03,0.39,0,0
HU2277,29.75,0,0,0
HU2278,50,0,0,0
HU2279,25,0,0,0
HU2280,8,0,0,0
HU2284,0.24,0,0,0
HU2285,0.53,0,0,0
HU2345,1.25,0,0,3.08
HU2346,0.46,0,0,36.95
HU2347,0,0,0,10.86
HU2348,0,0,0,14.46
HU2349,0,0,0,39.64
HU2350,0,0,0,100
HU2351,0,0,0,100
HU2352,0,0,0,100
HU2353,0,0,0,50
HU2354,1.08,0,0,8.01
HU2355,1.34,0,0,38.64
HU2356,0.11,1.24,0,5.4
HU2357,0,4.21,0,0
HU2376,0.49,0,0,0
HU2377,10.2,0,0,0
