"","tile_name","percent","Depth"
"276","NH3897",3.65,"Deep"
"277","NH3957",1.56,"Deep"
"278","NH3960",5.15,"Deep"
"279","NH3961",5.67,"Deep"
"280","NH3962",5.56,"Deep"
"281","NH3963",4.2,"Deep"
"282","NH3969",2.72,"Deep"
"283","NH3989",2.52,"Deep"
"284","NH3990",4.37,"Deep"
"285","NH3991",6.18,"Deep"
"286","NH3992",7.15,"Deep"
"287","NH3995",4.55,"Deep"
"288","NH3996",6.25,"Deep"
"289","NH4004",3.14,"Deep"
"290","NH4007",12.25,"Deep"
"291","NH4008",12.14,"Deep"
"292","NH4040",10.56,"Deep"
"293","NH4055",2.14,"Deep"
"294","NH4056",2.14,"Deep"
"295","NH4059",5.18,"Deep"
"296","NH4063",6.79,"Deep"
"297","NH4089",3.24,"Deep"
"298","NH4093",10.86,"Deep"
"299","NH4155",1.36,"Deep"
"300","NH4158",3.45,"Deep"
"301","NH4190",3.88,"Deep"
"302","NH4193",16.33,"Deep"
"303","NH4197",16.67,"Deep"
"304","NH4198",6.47,"Deep"
"305","NH4205",9.86,"Deep"
"306","NH4209",4.22,"Deep"
"307","NH4289",1.97,"Deep"
"308","NH4293",5.28,"Deep"
"309","NH4297",16.67,"Deep"
"310","NH4298",9.8,"Deep"
"311","NH4349",3.52,"Deep"
"312","NH4360",4.86,"Deep"
"313","NH4392",3.04,"Deep"
"314","NH4395",11.11,"Deep"
"315","NH4396",3.58,"Deep"
"316","NH4398",6.67,"Deep"
"317","NH4458",3.06,"Deep"
"318","NH4459",3.45,"Deep"
"319","NH4460",3.87,"Deep"
"320","NH4489",2.25,"Deep"
"321","NH4492",1.49,"Deep"
"322","NH4493",8.6,"Deep"
"323","NH4494",6.19,"Deep"
"324","NH4496",4.55,"Deep"
"325","NH4499",2.71,"Deep"
"326","NH4550",3.47,"Deep"
"327","NH4552",6.19,"Deep"
"328","NH4553",9.09,"Deep"
"329","NH4581",7.58,"Deep"
"330","NH4582",9.8,"Deep"
"331","NH4591",1.91,"Deep"
"332","NH4598",16.67,"Deep"
"333","NH4653",25,"Deep"
"334","NH4656",5.33,"Deep"
"335","NH4681",5.5,"Deep"
"336","NH4682",4.89,"Deep"
"337","NH4686",7.36,"Deep"
"338","NH4687",3,"Deep"
"339","NH4689",3,"Deep"
"340","NH4751",3.04,"Deep"
"341","NH4752",25,"Deep"
"342","NH4753",14.29,"Deep"
"343","NH4755",5.24,"Deep"
"344","NH4756",6.85,"Deep"
"345","NH4757",2.96,"Deep"
"346","NH4783",19.4,"Deep"
"347","NH4784",6.33,"Deep"
"348","NH4787",2.76,"Deep"
"349","NH4788",33.33,"Deep"
"350","NH4794",8.43,"Deep"
"351","NH4830",11.11,"Deep"
"352","NH4853",10,"Deep"
"353","NH4854",12.83,"Deep"
"354","NH4858",3.95,"Deep"
"355","NH4859",7.54,"Deep"
"356","NH4873",2.38,"Deep"
"357","NH4874",7.56,"Deep"
"358","NH4892",5.41,"Deep"
"359","NH4893",4.48,"Deep"
"360","NH4894",6,"Deep"
"361","NH4927",11.11,"Deep"
"362","NH4928",13,"Deep"
"363","NH4950",5,"Deep"
"364","NH4951",4.35,"Deep"
"365","NH4952",10,"Deep"
