"","tile_name","Canal","River_length"
"480","HU3791",0,128
"481","HU3792",0,375
"482","HU3812",0,568
"483","HU3813",0,1391
"484","HU3814",0,240
"485","HU3815",0,1152
"486","HU3816",0,2009
"487","HU3817",0,545
"488","HU3819",0,441
"489","HU3820",0,175
"490","HU3821",0,4449
"491","HU3822",0,921
"492","HU3823",0,719
"493","HU3825",0,1047
"494","HU3844",0,760
"495","HU3849",0,43
"496","HU3850",0,222
"497","HU3851",0,268
"498","HU3867",0,1214
"499","HU3871",0,539
"500","HU3872",0,1676
"501","HU3873",0,386
"502","HU3876",0,185
"503","HU3913",0,1996
"504","HU3914",0,1320
"505","HU3915",0,598
"506","HU3916",0,995
"507","HU3917",0,587
"508","HU3920",0,77
"509","HU3921",0,922
"510","HU3922",0,872
"511","HU3923",0,208
"512","HU3924",0,388
"513","HU3925",0,248
"514","HU3929",0,155
"515","HU3936",0,83
"516","HU3937",0,520
"517","HU3939",0,582
"518","HU3940",0,295
"519","HU3941",0,320
"520","HU3952",0,1724
"521","HU3953",0,2475
"522","HU3954",0,1555
"523","HU3955",0,1678
"524","HU3959",0,283
"525","HU3961",0,1647
"526","HU3962",0,267
"527","HU3971",0,536
"528","HU3972",0,2542
"529","HU3973",0,509
"530","HU3975",0,3491
"531","HU3976",0,1266
"532","HU4012",0,1391
"533","HU4013",0,527
"534","HU4014",0,281
"535","HU4015",0,1256
"536","HU4016",0,424
"537","HU4017",0,763
"538","HU4018",0,1105
"539","HU4020",0,2218
"540","HU4021",0,469
"541","HU4022",0,684
"542","HU4023",0,1090
"543","HU4024",0,1422
"544","HU4025",0,1075
"545","HU4026",0,1259
"546","HU4027",0,387
"547","HU4028",0,40
"548","HU4029",0,1265
"549","HU4034",0,818
"550","HU4035",0,447
"551","HU4037",0,1949
"552","HU4039",0,20
"553","HU4040",0,2044
"554","HU4041",0,597
"555","HU4042",0,194
"556","HU4050",0,682
"557","HU4051",0,835
"558","HU4052",0,1034
"559","HU4053",0,58
"560","HU4054",0,1566
"561","HU4055",0,1543
"562","HU4056",0,1135
"563","HU4057",0,1073
"564","HU4058",0,1027
"565","HU4059",0,1522
"566","HU4060",0,360
"567","HU4061",0,465
"568","HU4062",0,1662
"569","HU4063",0,1352
"570","HU4064",0,2457
"571","HU4065",0,3037
"572","HU4066",0,1058
"573","HU4067",0,2587
"574","HU4068",0,1776
"575","HU4071",0,662
"576","HU4073",0,695
"577","HU4074",0,1686
"578","HU4075",0,1239
"579","HU4076",0,1599
"580","HU4077",0,961
"581","HU4120",0,412
"582","HU4121",0,533
"583","HU4123",0,1042
"584","HU4124",0,1521
"585","HU4125",0,200
"586","HU4128",0,1142
"587","HU4130",0,644
"588","HU4131",0,1700
"589","HU4134",0,601
"590","HU4135",0,1212
"591","HU4136",0,1123
"592","HU4137",0,951
"593","HU4138",0,160
"594","HU4140",0,781
"595","HU4141",0,444
"596","HU4142",0,104
"597","HU4143",0,1636
"598","HU4144",0,2706
"599","HU4145",0,3240
"600","HU4147",0,942
"601","HU4151",0,478
"602","HU4152",0,892
"603","HU4153",0,1974
"604","HU4154",0,151
"605","HU4155",0,1021
"606","HU4156",0,1211
"607","HU4157",0,1242
"608","HU4158",0,961
"609","HU4159",0,0
"610","HU4160",0,814
"611","HU4161",0,1091
"612","HU4162",0,575
"613","HU4163",0,407
"614","HU4166",0,1482
"615","HU4167",0,55
"616","HU4168",0,456
"617","HU4171",0,352
