"","tile_name","HF"
"482","HU4067",7
"483","HU4068",10
"484","HU4071",1
"485","HU4073",2
"486","HU4074",7
"487","HU4075",4
"488","HU4076",5
"489","HU4077",3
"490","HU4120",3
"491","HU4121",2
"492","HU4123",4
"493","HU4124",4
"494","HU4125",1
"495","HU4131",3
"496","HU4134",1
"497","HU4135",6
"498","HU4137",7
"499","HU4138",1
"500","HU4140",1
"501","HU4141",5
"502","HU4142",2
"503","HU4143",10
"504","HU4144",16
"505","HU4145",18
"506","HU4147",1
"507","HU4152",1
"508","HU4153",1
"509","HU4159",1
"510","HU4160",1
"511","HU4166",5
"512","HU4168",9
"513","HU4172",1
"514","HU4173",11
"515","HU4174",2
"516","HU4175",1
"517","HU4224",8
"518","HU4225",11
"519","HU4227",4
"520","HU4228",7
"521","HU4229",3
"522","HU4234",1
"523","HU4235",13
"524","HU4237",1
"525","HU4241",2
"526","HU4243",17
"527","HU4244",7
"528","HU4245",17
"529","HU4246",7
"530","HU4250",1
"531","HU4251",1
"532","HU4252",1
"533","HU4254",1
"534","HU4261",1
"535","HU4265",1
"536","HU4268",9
"537","HU4269",1
"538","HU4273",1
"539","HU4276",1
"540","HU4323",1
"541","HU4324",5
"542","HU4327",1
"543","HU4328",6
"544","HU4329",6
"545","HU4330",11
"546","HU4331",10
"547","HU4332",11
"548","HU4333",3
"549","HU4335",7
"550","HU4336",6
"551","HU4337",4
"552","HU4341",1
"553","HU4342",12
"554","HU4343",5
"555","HU4345",2
"556","HU4346",8
"557","HU4350",2
"558","HU4353",2
"559","HU4354",9
"560","HU4357",1
"561","HU4360",1
"562","HU4362",3
"563","HU4368",10
"564","HU4374",1
"565","HU4375",1
"566","HU4376",3
"567","HU4428",4
"568","HU4429",3
"569","HU4430",5
"570","HU4433",1
"571","HU4436",8
"572","HU4438",1
"573","HU4439",1
"574","HU4445",6
"575","HU4446",3
"576","HU4453",2
"577","HU4454",1
"578","HU4455",1
"579","HU4461",1
"580","HU4463",5
"581","HU4473",6
"582","HU4474",4
"583","HU4475",1
"584","HU4484",1
"585","HU4489",3
"586","HU4490",2
"587","HU4494",2
"588","HU4528",1
"589","HU4540",1
"590","HU4541",1
"591","HU4542",1
"592","HU4543",7
"593","HU4546",1
"594","HU4553",3
"595","HU4554",1
"596","HU4558",2
"597","HU4559",2
"598","HU4560",6
"599","HU4561",7
"600","HU4563",3
"601","HU4564",1
"602","HU4565",2
"603","HU4574",3
"604","HU4584",1
"605","HU4587",1
"606","HU4588",1
"607","HU4589",4
"608","HU4591",3
"609","HU4639",1
"610","HU4642",3
"611","HU4643",4
"612","HU4653",2
"613","HU4654",5
"614","HU4655",4
"615","HU4659",2
"616","HU4660",15
"617","HU4663",14
"618","HU4666",1
"619","HU4679",7
"620","HU4680",4
"621","HU4690",1
"622","HU4691",1
"623","HU4693",1
"624","HU4694",1
"625","HU4695",2
"626","HU4753",1
"627","HU4754",1
"628","HU4759",3
"629","HU4760",14
"630","HU4763",2
"631","HU4764",1
"632","HU4765",9
"633","HU4778",3
"634","HU4779",2
"635","HU4783",1
"636","HU4784",1
"637","HU4786",1
"638","HU4794",1
"639","HU4796",3
"640","HU4797",1
"641","HU4838",5
"642","HU4839",1
"643","HU4842",2
"644","HU4843",1
"645","HU4857",5
"646","HU4858",2
"647","HU4863",14
"648","HU4864",6
"649","HU4880",3
"650","HU4884",1
"651","HU4888",1
"652","HU4891",3
"653","HU4892",1
"654","HU4893",3
"655","HU4895",1
"656","HU4896",3
"657","HU4897",2
"658","HU4898",1
"659","HU4899",2
"660","HU4937",1
"661","HU4938",20
"662","HU4939",15
"663","HU4940",20
"664","HU4941",2
"665","HU4942",2
"666","HU4943",1
"667","HU4944",2
"668","HU4958",6
"669","HU4980",9
"670","HU4982",1
"671","HU4987",1
"672","HU4991",16
"673","HU4994",1
"674","HU4996",2
"675","HU4998",1
"676","HU5039",1
"677","HU5040",11
"678","HU5041",2
"679","HU5042",7
"680","HU5043",6
"681","HU5059",1
"682","HU5063",1
"683","HU5064",1
"684","HU5082",1
"685","HU5083",1
"686","HU5091",2
"687","HU5092",3
"688","HU5093",1
"689","HU5099",1
"690","HU5136",3
"691","HU5137",3
"692","HU5140",2
"693","HU5141",10
"694","HU5143",1
"695","HU5179",8
"696","HU5180",2
"697","HU5183",1
"698","HU5185",2
"699","HU5190",4
"700","HU5191",1
"701","HU5192",6
"702","HU5193",1
"703","HU5194",1
"704","HU5197",1
"705","HU5198",2
"706","HU5279",5
"707","HU5280",1
"708","HU5283",1
"709","HU5285",4
"710","HU5286",1
"711","HU5287",2
"712","HU5288",3
"713","HU5291",1
"714","HU5292",2
"715","HU5294",1
"716","HU5297",1
"717","HU5298",1
"718","HU5340",1
"719","HU5387",1
"720","HU5388",3
"721","HU5389",2
"722","HU5392",1
"723","HU5395",1
"724","HU5396",1
"725","HU5440",1
"726","HU5461",2
"727","HU5462",4
"728","HU5463",2
"729","HU5464",2
"730","HU5496",3
"731","HU5497",3
"732","HU5499",1
