tile_name,MEAN_elev
SS3211,174.473125
SS3212,162.716875
SS3213,163.375
SS3214,183.07125
SS3215,190.12875
SS3216,190.076875
SS3217,152.57625
SS3218,150.964375
SS3219,170.18
SS3220,172.236875
SS3221,192.525625
SS3222,197.5825
SS3223,200.95875
SS3224,42.845625
SS3225,0
SS3226,0
SS3227,0
SS3228,0
SS3229,0
SS3280,0
SS3281,0
SS3282,0
SS3283,0
SS3284,0
SS3285,0
SS3286,0
SS3287,0
SS3288,0
SS3289,0
SS3290,0
SS3291,0
SS3292,0
SS3300,109.68875
SS3301,107.92625
SS3302,111.66125
SS3303,125.87375
SS3304,122.05
SS3305,121.09625
SS3306,131.00375
SS3307,142.72375
SS3308,158.439375
SS3309,181.55875
SS3310,157.08875
SS3311,152.6575
SS3312,165.985625
SS3313,165.938125
SS3314,179.8
SS3315,193.209375
SS3316,182.019375
SS3317,150.155
SS3318,160.02625
SS3319,168.045
SS3320,163.881875
SS3321,185.9725
SS3322,186.084375
SS3323,145.6425
SS3324,0.44125
SS3325,0
SS3326,0
SS3327,0
SS3328,0
SS3329,0
SS3380,0
SS3381,0
SS3382,0
SS3383,0
SS3384,0
SS3385,0
SS3386,0
SS3387,0
SS3388,0
SS3389,0
SS3390,0
SS3391,0
SS3392,0
SS3400,130.018125
SS3401,113.868125
SS3402,126.306875
SS3403,129.60625
SS3404,133.57625
SS3405,131.588125
SS3406,141.326875
SS3407,147.741875
SS3408,166.393125
SS3409,179.0225
SS3410,143.351875
SS3411,150.845
SS3412,155.986875
SS3413,171.724375
SS3414,188.415625
SS3415,193.975625
SS3416,170.253125
SS3417,141.00375
SS3418,143.265
SS3419,157.40375
SS3420,165.39375
SS3421,185.175625
SS3422,197.546875
SS3423,126.915
SS3424,0
SS3425,0
SS3426,0
SS3427,0
SS3428,0
SS3429,0
SS3480,0
SS3481,0
SS3482,0
SS3483,0
SS3484,0
SS3485,0
SS3486,0
SS3487,0
SS3488,0
SS3489,0
SS3490,0
SS3491,0
SS3492,0
SS3500,120.56
SS3501,128.685625
SS3502,142.67
SS3503,151.4475
SS3504,145.51375
SS3505,135.91625
SS3506,145.233125
SS3507,165.199375
SS3508,179.795625
SS3509,153.51625
SS3510,135.995625
SS3511,158.94
SS3512,161.68375
SS3513,181.111875
SS3514,182.381875
SS3515,164.549375
SS3516,147.410625
SS3517,148.318125
SS3518,147.5225
SS3519,151.05375
SS3520,171.9525
SS3521,187.6725
SS3522,181.553125
SS3523,83.358125
SS3524,0
SS3525,0
SS3526,0
SS3527,0
SS3528,0
SS3529,0
SS3580,0
SS3581,0
SS3582,0
SS3583,0
SS3584,0
SS3585,0
SS3586,0
SS3587,0
SS3588,0
SS3589,0
SS3590,0
SS3591,0
SS3592,0
SS3600,122.908125
SS3601,140.858125
SS3602,167.505
SS3603,169.599375
SS3604,168.2
SS3605,143.300625
SS3606,144.99375
SS3607,159.755625
SS3608,175.74875
SS3609,152.3675
SS3610,130.234375
SS3611,148.2325
SS3612,163.113125
SS3613,180.191875
SS3614,151.310625
SS3615,136.3875
SS3616,150.7375
SS3617,163.20125
SS3618,150.836875
SS3619,156.138125
SS3620,174.28875
SS3621,179.82125
SS3622,177.6425
SS3623,117.9175
SS3624,0
SS3625,0
SS3626,0
SS3627,0
SS3628,0
SS3629,0
SS3680,0
SS3681,0
SS3682,0
SS3683,0
SS3684,0
SS3685,0
SS3686,0
SS3687,0
SS3688,0
SS3689,0
SS3690,0
SS3691,0
SS3692,0
SS3700,120.3525
SS3701,129.25375
SS3702,149.74625
SS3703,173.089375
SS3704,179.775
SS3705,146.680625
SS3706,131.474375
SS3707,137.8625
SS3708,167.740625
SS3709,148.396875
SS3710,130.01375
SS3711,158.715625
SS3712,174.775625
SS3713,170.049375
SS3714,132.119375
SS3715,150.93125
SS3716,157.43125
SS3717,165.125625
SS3718,162.680625
SS3719,186.538125
SS3720,179.38
SS3721,167.563125
SS3722,162.3025
SS3723,154.070625
SS3724,6.631875
SS3725,0
SS3726,0
SS3727,0
SS3728,0
SS3729,0
SS3780,0
SS3781,0
SS3782,0
SS3783,0
SS3784,0
SS3785,0
SS3786,0
SS3787,0
SS3788,0
SS3789,0
SS3790,0
SS3791,0
SS3792,0
SS3800,132.978125
SS3801,132.103125
SS3802,142.324375
SS3803,182.48375
SS3804,171.718125
SS3805,134.46125
SS3806,122.525625
SS3807,148.81625
SS3808,162.20375
SS3809,136.321875
SS3810,127.47375
SS3811,155.40625
SS3812,156.826875
SS3813,152.205
SS3814,130.57125
SS3815,149.421875
SS3816,156.37125
SS3817,165.765625
SS3818,155.85875
SS3819,191.975
SS3820,165.804375
SS3821,154.701875
SS3822,132.990625
SS3823,148.144375
SS3824,36.913125
SS3825,0.055625
SS3826,0
SS3827,0
SS3828,0
SS3829,0
SS3880,0
SS3881,0
SS3882,0
SS3883,0
SS3884,0
SS3885,0
SS3886,0
SS3887,0.448125
SS3888,0
SS3889,0
SS3890,0
SS3891,0
SS3892,0
SS3900,147.2925
SS3901,149.866875
SS3902,137.370625
SS3903,163.465
SS3904,169.441875
SS3905,143.0275
SS3906,116.016875
SS3907,137.42
SS3908,146.0625
SS3909,121.798125
SS3910,132.8
SS3911,160.52875
SS3912,132.895625
SS3913,127.02875
SS3914,144.319375
SS3915,151.20125
SS3916,162.376875
SS3917,161.305
SS3918,150.6
SS3919,173.934375
SS3920,161.999375
SS3921,129.564375
SS3922,109.9125
SS3923,147.81625
SS3924,79.87375
SS3925,53.83625
SS3926,4.91625
SS3927,0
SS3928,0
SS3929,0
SS3980,0
SS3981,0
SS3982,0
SS3983,0
SS3984,0
SS3985,0
SS3986,0
SS3987,1.265
SS3988,0
SS3989,0
SS3990,0
SS3991,0
SS3992,0.400625
SS4000,168.2725
SS4001,170.12
SS4002,147.93625
SS4003,151.92375
SS4004,149.034375
SS4005,138.51
SS4006,111.985625
SS4007,113.94625
SS4008,125.996875
SS4009,122.215625
SS4010,137.55
SS4011,132.34375
SS4012,126.03
SS4013,145.78125
SS4014,148.75125
SS4015,161.82125
SS4016,166.113125
SS4017,142.014375
SS4018,142.743125
SS4019,142.0725
SS4020,157.41625
SS4021,145.281875
SS4022,93.710625
SS4023,122.1125
SS4024,98.16875
SS4025,98.860625
SS4026,58.661875
SS4027,7.66
SS4028,0
SS4029,0
SS4030,0
SS4031,0
SS4032,0
SS4033,0
SS4034,0
SS4035,0
SS4036,0
SS4037,0
SS4038,0
SS4039,0
SS4040,0
SS4041,0
SS4042,0
SS4043,0
SS4044,0
SS4045,0
SS4046,0
SS4047,0
SS4048,0
SS4049,0
SS4080,0
SS4081,0
SS4082,0
SS4083,0
SS4084,0
SS4085,0
SS4086,0
SS4087,20.5175
SS4088,0.166875
SS4089,0
SS4090,0
SS4091,0.95375
SS4092,12.91
SS4100,173.64
SS4101,183.9175
SS4102,141.80125
SS4103,144.38
SS4104,142.013125
SS4105,141.3225
SS4106,117.798125
SS4107,110.310625
SS4108,114.315625
SS4109,127.953125
SS4110,119.13875
SS4111,125.34875
SS4112,151.64125
SS4113,160.838125
SS4114,156.745
SS4115,162.165625
